m,n,N_nodes,hole_ratio,topology,method,set_size,coverage,time_sec
20,20,400,0.0,supergrid,ILP,49,1.0,0.12347769970074296
20,20,400,0.0,supergrid,Greedy,60,1.0,0.022206999827176332
20,20,400,0.0,supergrid,TRANSFORMER+PruneILPBeamGreedy,51,1.0,2.1384088997729123
20,20,320,0.19999999999999996,supergrid,ILP,48,1.0,0.07668360020034015
20,20,320,0.19999999999999996,supergrid,Greedy,61,1.0,0.022920400137081742
20,20,320,0.19999999999999996,supergrid,TRANSFORMER+PruneILPBeamGreedy,53,1.0,1.09474530024454
20,20,251,0.37250000000000005,supergrid,ILP,51,1.0,0.10635489993728697
20,20,251,0.37250000000000005,supergrid,Greedy,58,1.0,0.04813109990209341
20,20,251,0.37250000000000005,supergrid,TRANSFORMER+PruneILPBeamGreedy,51,1.0,0.6128100999630988
20,20,348,0.13,supergrid,ILP,49,1.0,0.6857527999673039
20,20,348,0.13,supergrid,Greedy,61,1.0,0.6207234000321478
20,20,348,0.13,supergrid,TRANSFORMER+PruneILPBeamGreedy,51,1.0,1.8487110000569373
20,20,207,0.48250000000000004,supergrid,ILP,47,1.0,0.23293840023688972
20,20,207,0.48250000000000004,supergrid,Greedy,58,1.0,0.18388070003129542
20,20,207,0.48250000000000004,supergrid,TRANSFORMER+PruneILPBeamGreedy,52,1.0,0.5532202001195401
30,30,900,0.0,supergrid,ILP,100,1.0,0.15257670008577406
30,30,900,0.0,supergrid,Greedy,143,1.0,0.11566970008425415
30,30,900,0.0,supergrid,TRANSFORMER+PruneILPBeamGreedy,150,1.0,25.155479800188914
30,30,720,0.19999999999999996,supergrid,ILP,108,1.0,5.383795500034466
30,30,720,0.19999999999999996,supergrid,Greedy,136,1.0,0.07301739999093115
30,30,720,0.19999999999999996,supergrid,TRANSFORMER+PruneILPBeamGreedy,137,1.0,13.331548700109124
30,30,540,0.4,supergrid,ILP,111,1.0,0.4160635999869555
30,30,540,0.4,supergrid,Greedy,132,1.0,0.04906500014476478
30,30,540,0.4,supergrid,TRANSFORMER+PruneILPBeamGreedy,127,1.0,5.972380000166595
30,30,610,0.3222222222222222,supergrid,ILP,108,1.0,3.4203043000306934
30,30,610,0.3222222222222222,supergrid,Greedy,133,1.0,3.3216489001642913
30,30,610,0.3222222222222222,supergrid,TRANSFORMER+PruneILPBeamGreedy,133,1.0,10.642405099933967
30,30,669,0.2566666666666667,supergrid,ILP,109,1.0,6.350528200156987
30,30,669,0.2566666666666667,supergrid,Greedy,131,1.0,5.400122399907559
30,30,669,0.2566666666666667,supergrid,TRANSFORMER+PruneILPBeamGreedy,139,1.0,15.295082899974659
40,40,1600,0.0,supergrid,ILP,196,1.0,0.7192638998385519
40,40,1600,0.0,supergrid,Greedy,254,1.0,0.3565689001698047
40,40,1600,0.0,supergrid,TRANSFORMER+PruneILPBeamGreedy,253,1.0,154.0337620000355
40,40,1280,0.19999999999999996,supergrid,ILP,187,1.0,14.833727899938822
40,40,1280,0.19999999999999996,supergrid,Greedy,231,1.0,0.24939170014113188
40,40,1280,0.19999999999999996,supergrid,TRANSFORMER+PruneILPBeamGreedy,244,1.0,86.61725639994256
40,40,985,0.384375,supergrid,ILP,193,1.0,2.2904603998176754
40,40,985,0.384375,supergrid,Greedy,233,1.0,1.408691199729219
40,40,985,0.384375,supergrid,TRANSFORMER+PruneILPBeamGreedy,236,1.0,40.36255399999209
40,40,1006,0.37124999999999997,supergrid,ILP,187,1.0,14.533505900064483
40,40,1006,0.37124999999999997,supergrid,Greedy,221,1.0,14.125086599960923
40,40,1006,0.37124999999999997,supergrid,TRANSFORMER+PruneILPBeamGreedy,222,1.0,53.6005571000278
40,40,986,0.38375000000000004,supergrid,ILP,189,1.0,18.241050299955532
40,40,986,0.38375000000000004,supergrid,Greedy,221,1.0,17.79381929989904
40,40,986,0.38375000000000004,supergrid,TRANSFORMER+PruneILPBeamGreedy,227,1.0,55.40512579982169
60,60,3600,0.0,supergrid,ILP,400,1.0,2.2927321998868138
60,60,3600,0.0,supergrid,Greedy,567,1.0,2.1950713000260293
60,60,3600,0.0,supergrid,TRANSFORMER+PruneILPBeamGreedy,567,1.0,1807.864241699921
