m,n,N_nodes,hole_ratio,rank,method,set_size,coverage,time_sec
20,20,400,0.0,1,ILP,49.0,1.0,0.07287400006316602
20,20,400,0.0,2,ILP,49.0,1.0,0.07626700005494058
20,20,400,0.0,3,ILP,49.0,1.0,0.07674630009569228
20,20,320,0.19999999999999996,1,ILP,49.0,1.0,0.06575650000013411
20,20,320,0.19999999999999996,2,ILP,49.0,1.0,0.06756350002251565
20,20,320,0.19999999999999996,3,ILP,49.0,1.0,0.07321409997530282
20,20,328,0.18000000000000005,1,ILP,50.0,1.0,0.0861527998931706
20,20,328,0.18000000000000005,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,54.0,1.0,1.1737836000975221
20,20,328,0.18000000000000005,3,Greedy,63.0,1.0,0.011279200203716755
20,20,240,0.4,1,ILP,46.0,1.0,0.054650000063702464
20,20,240,0.4,2,ILP,49.0,1.0,0.05608709994703531
20,20,240,0.4,3,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,49.0,1.0,0.5055881000589579
20,20,247,0.38249999999999995,1,TRANSFORMER_raw,48.0,0.9109311740890689,0.005725400056689978
20,20,247,0.38249999999999995,2,ILP,50.0,1.0,0.06802239990793169
20,20,247,0.38249999999999995,3,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,50.0,1.0,0.5401702001690865
20,20,253,0.36750000000000005,1,ILP,49.0,1.0,0.051313400035724044
20,20,253,0.36750000000000005,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,50.0,1.0,0.5504839001223445
20,20,253,0.36750000000000005,3,TRANSFORMER_raw,57.0,0.8893280632411067,0.004662299994379282
20,20,248,0.38,1,ILP,49.0,1.0,0.05052440008148551
20,20,248,0.38,2,ILP,49.0,1.0,0.05180229991674423
20,20,248,0.38,3,ILP,50.0,1.0,0.05351460003294051
20,20,276,0.31000000000000005,1,ILP,49.0,1.0,0.0617726999334991
20,20,276,0.31000000000000005,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,54.0,1.0,0.7920681999530643
20,20,276,0.31000000000000005,3,Greedy,57.0,1.0,0.0053952999878674746
20,20,251,0.37250000000000005,1,ILP,50.0,1.0,0.05311700003221631
20,20,251,0.37250000000000005,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,55.0,1.0,0.5865388000383973
20,20,251,0.37250000000000005,3,TRANSFORMER_raw,60.0,0.8924302788844621,0.006621799897402525
20,20,272,0.31999999999999995,1,ILP,52.0,1.0,0.06239209999330342
20,20,272,0.31999999999999995,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,55.0,1.0,0.7425212999805808
20,20,272,0.31999999999999995,3,Greedy,57.0,1.0,0.005776699865236878
20,20,200,0.5,1,ILP,47.0,1.0,0.06389870005659759
20,20,200,0.5,2,ILP,48.0,1.0,0.05035699997097254
20,20,200,0.5,3,ILP,49.0,1.0,0.05084349983371794
20,20,204,0.49,1,ILP,48.0,1.0,0.05043130018748343
20,20,204,0.49,2,ILP,48.0,1.0,0.061590100172907114
20,20,204,0.49,3,ILP,50.0,1.0,0.04870090004988015
20,20,244,0.39,1,ILP,50.0,1.0,0.05960060004144907
20,20,244,0.39,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,53.0,1.0,0.500714500201866
20,20,244,0.39,3,Greedy,59.0,1.0,0.0043883000034838915
20,20,232,0.42000000000000004,1,ILP,48.0,1.0,0.056635200046002865
20,20,232,0.42000000000000004,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,52.0,1.0,0.4234943001065403
20,20,232,0.42000000000000004,3,Greedy,56.0,1.0,0.00388780003413558
20,20,257,0.35750000000000004,1,ILP,50.0,1.0,0.05378809990361333
20,20,257,0.35750000000000004,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,53.0,1.0,0.6404639000538737
20,20,257,0.35750000000000004,3,TRANSFORMER_raw,56.0,0.8910505836575876,0.004186099860817194
20,20,220,0.44999999999999996,1,ILP,47.0,1.0,0.0561752999201417
20,20,220,0.44999999999999996,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,49.0,1.0,0.4062089999206364
20,20,220,0.44999999999999996,3,Greedy,54.0,1.0,0.0034468001686036587
20,20,235,0.4125,1,ILP,47.0,1.0,0.05803630012087524
20,20,235,0.4125,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,52.0,1.0,0.4497372000478208
20,20,235,0.4125,3,Greedy,56.0,1.0,0.005219199927523732
20,20,245,0.38749999999999996,1,ILP,47.0,1.0,0.05841100006364286
20,20,245,0.38749999999999996,2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,48.0,1.0,0.5004803999327123
20,20,245,0.38749999999999996,3,TRANSFORMER_raw,55.0,0.9306122448979591,0.0062373001128435135
20,20,239,0.40249999999999997,1,ILP,48.0,1.0,0.05639419984072447
20,20,239,0.40249999999999997,2,ILP,49.0,1.0,0.061645800014957786
20,20,239,0.40249999999999997,3,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,51.0,1.0,0.5243304998148233
20,20,205,0.48750000000000004,1,ILP,49.0,1.0,0.05283379997126758
