m,n,N_nodes,hole_ratio,method,set_size,time_sec
20,20,400,0.0,ILP,49.0,0.1263
20,20,400,0.0,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,52.4,2.0193
20,20,400,0.0,TRANSFORMER_raw,58.5,0.0325
20,20,400,0.0,Greedy,62.9,0.0158
20,20,320,0.2,ILP,49.4,0.0879
20,20,320,0.2,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,52.7,1.0599
20,20,320,0.2,Greedy,60.2,0.0095
20,20,320,0.2,TRANSFORMER_raw,63.4,0.0076
20,20,300,0.25,ILP,51.0,0.0727
20,20,300,0.25,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,57.0,0.946
20,20,300,0.25,Greedy,62.0,0.0071
20,20,300,0.25,TRANSFORMER_raw,63.0,0.0074
20,20,274,0.3,ILP,50.5,0.0621
20,20,274,0.3,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,54.5,0.7673
20,20,274,0.3,Greedy,57.0,0.0056
20,20,274,0.3,TRANSFORMER_raw,60.5,0.0053
20,20,253,0.35,ILP,49.67,0.0527
20,20,253,0.35,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,52.67,0.5925
20,20,253,0.35,TRANSFORMER_raw,57.67,0.0052
20,20,253,0.35,Greedy,58.67,0.0047
20,20,241,0.4,ILP,49.14,0.061
20,20,241,0.4,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,52.29,0.5059
20,20,241,0.4,TRANSFORMER_raw,57.67,0.0055
20,20,241,0.4,Greedy,57.86,0.0046
20,20,223,0.45,ILP,48.5,0.0558
20,20,223,0.45,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,51.5,0.4353
20,20,223,0.45,Greedy,56.0,0.0036
20,20,223,0.45,TRANSFORMER_raw,59.5,0.0055
20,20,203,0.5,ILP,48.4,0.057
20,20,203,0.5,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,51.0,0.3586
20,20,203,0.5,Greedy,54.6,0.0032
20,20,203,0.5,TRANSFORMER_raw,55.3,0.0049
20,20,166,0.6,ILP,48.0,0.0522
20,20,166,0.6,TRANSFORMER+PruneGuidedGreedyLocalSwap+ILPpolish,49.0,0.2141
20,20,166,0.6,Greedy,53.0,0.0025
20,20,166,0.6,TRANSFORMER_raw,55.0,0.0064
